DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
07-Apr-2026,EQ,"357.00","364.00","357.00","360.55","363.10","362.95","360.90","2,301.90","345.50","2,36,55,155","8,53,71,92,007.05","2,15,482"
06-Apr-2026,EQ,"358.00","361.40","350.10","358.00","360.95","360.55","355.99","2,301.90","345.50","1,83,20,378","6,52,19,57,672.65","2,19,258"
02-Apr-2026,EQ,"350.30","359.85","345.50","356.05","357.80","358.00","352.33","2,301.90","345.50","2,20,56,018","7,77,10,83,609.90","2,17,135"
01-Apr-2026,EQ,"363.80","364.05","355.00","353.40","355.40","356.05","358.39","2,301.90","351.65","2,12,45,776","7,61,43,32,891.45","1,39,154"
30-Mar-2026,EQ,"361.00","362.95","351.65","366.15","353.00","353.40","354.80","2,301.90","351.65","3,97,62,775","14,10,79,36,024.95","3,24,407"
27-Mar-2026,EQ,"367.55","368.85","362.50","371.10","367.15","366.15","365.15","2,301.90","355.25","2,89,28,069","10,56,30,16,574.55","2,43,245"
25-Mar-2026,EQ,"368.95","378.00","363.00","366.85","370.40","371.10","370.41","2,301.90","355.25","4,24,42,702","15,72,11,06,206.75","3,14,840"
24-Mar-2026,EQ,"363.00","370.95","361.40","356.55","368.50","366.85","366.73","2,301.90","355.25","1,99,90,983","7,33,13,70,565.25","1,49,620"
23-Mar-2026,EQ,"364.85","364.90","355.25","366.75","357.50","356.55","358.73","2,301.90","355.25","1,69,80,244","6,09,13,81,289.50","1,89,680"
20-Mar-2026,EQ,"368.60","372.60","365.40","368.15","367.00","366.75","368.50","2,301.90","363.35","1,70,77,194","6,29,28,68,750.15","1,75,458"
19-Mar-2026,EQ,"366.15","370.15","363.35","375.40","370.00","368.15","367.90","2,301.90","363.35","1,73,08,390","6,36,77,68,084.60","1,82,131"
18-Mar-2026,EQ,"375.00","376.95","371.10","374.20","375.15","375.40","374.09","2,301.90","363.40","1,52,35,416","5,69,94,08,181.55","2,48,700"
17-Mar-2026,EQ,"369.85","375.15","368.60","369.85","374.00","374.20","372.49","2,301.90","363.40","1,51,76,772","5,65,31,79,295.75","2,51,040"
16-Mar-2026,EQ,"366.85","373.35","364.05","366.85","369.40","369.85","368.66","2,301.90","363.40","2,79,27,294","10,29,55,41,009.85","2,24,193"
13-Mar-2026,EQ,"373.00","373.60","363.40","375.30","367.10","366.85","368.09","2,301.90","363.40","3,21,79,473","11,84,49,43,126.95","4,40,875"
12-Mar-2026,EQ,"377.00","380.15","374.05","383.20","375.00","375.30","376.92","2,301.90","374.05","2,50,48,123","9,44,12,27,395.65","2,17,461"
11-Mar-2026,EQ,"388.85","391.10","379.95","391.85","380.80","383.20","385.28","2,301.90","379.95","2,99,91,868","11,55,52,43,410.70","1,89,660"
10-Mar-2026,EQ,"390.50","394.25","387.50","386.35","391.25","391.85","391.17","2,301.90","385.10","2,13,46,381","8,35,00,45,925.35","1,59,995"
09-Mar-2026,EQ,"390.00","393.85","385.10","399.80","386.05","386.35","388.07","2,301.90","385.10","2,02,75,976","7,86,84,77,951.75","4,47,870"
06-Mar-2026,EQ,"403.70","406.70","399.00","407.30","401.30","399.80","402.24","2,301.90","399.00","1,75,12,726","7,04,42,79,376.50","1,67,361"
05-Mar-2026,EQ,"403.60","410.05","402.35","403.35","406.35","407.30","406.75","2,301.90","400.50","1,49,63,265","6,08,63,75,817.90","1,36,507"
04-Mar-2026,EQ,"405.00","410.50","402.20","413.10","403.70","403.35","406.33","2,301.90","400.50","1,83,93,751","7,47,39,64,432.20","2,10,319"
02-Mar-2026,EQ,"410.00","414.60","407.10","415.20","411.20","413.10","411.38","2,301.90","400.50","1,52,36,666","6,26,79,85,742.35","1,74,500"
27-Feb-2026,EQ,"420.50","422.35","414.45","424.55","416.05","415.20","416.98","2,301.90","400.50","1,78,06,739","7,42,50,83,449.30","1,65,677"
26-Feb-2026,EQ,"426.70","426.70","421.70","424.95","424.00","424.55","424.29","2,301.90","400.50","1,34,17,228","5,69,27,54,311.90","1,43,525"
