DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
08-May-2026,EQ,"2,272.20","2,297.30","2,256.00","2,272.20","2,286.00","2,287.70","2,284.18","2,479.60","2,022.50","11,04,526","2,52,29,32,464.50","63,218"
07-May-2026,EQ,"2,310.00","2,327.90","2,268.10","2,317.10","2,273.00","2,272.20","2,281.47","2,479.60","2,022.50","18,59,012","4,24,12,84,590.20","1,00,620"
06-May-2026,EQ,"2,330.00","2,339.40","2,288.30","2,327.40","2,315.80","2,317.10","2,306.60","2,479.60","2,022.50","11,96,175","2,75,91,01,286.80","70,484"
05-May-2026,EQ,"2,301.50","2,335.40","2,288.10","2,309.30","2,322.60","2,327.40","2,317.37","2,479.60","2,022.50","17,41,424","4,03,55,19,750.60","73,949"
04-May-2026,EQ,"2,268.80","2,365.80","2,268.80","2,250.90","2,307.00","2,309.30","2,327.93","2,479.60","2,022.50","25,54,255","5,94,61,30,580.00","1,39,746"
30-Apr-2026,EQ,"2,312.00","2,368.80","2,211.60","2,314.40","2,254.00","2,250.90","2,280.18","2,479.60","2,022.50","44,34,979","10,11,25,53,394.70","2,32,691"
29-Apr-2026,EQ,"2,305.00","2,349.70","2,291.00","2,289.50","2,317.10","2,314.40","2,321.41","2,479.60","2,022.50","17,78,765","4,12,92,40,520.30","70,684"
28-Apr-2026,EQ,"2,321.00","2,334.40","2,281.10","2,328.30","2,290.00","2,289.50","2,303.11","2,479.60","2,022.50","16,29,120","3,75,20,42,618.20","63,289"
27-Apr-2026,EQ,"2,334.90","2,362.80","2,325.00","2,327.30","2,326.50","2,328.30","2,338.25","2,479.60","2,022.50","10,99,681","2,57,13,32,388.60","59,062"
24-Apr-2026,EQ,"2,388.60","2,388.60","2,299.00","2,366.40","2,325.00","2,327.30","2,324.24","2,479.60","2,022.50","16,76,706","3,89,70,63,116.00","86,343"
23-Apr-2026,EQ,"2,336.00","2,400.00","2,336.00","2,368.80","2,353.00","2,366.40","2,372.10","2,479.60","2,022.50","20,63,531","4,89,49,00,696.60","86,597"
22-Apr-2026,EQ,"2,310.40","2,408.00","2,310.40","2,310.70","2,366.00","2,368.80","2,371.26","2,479.60","2,022.50","55,58,325","13,18,02,43,579.90","1,89,123"
21-Apr-2026,EQ,"2,238.70","2,335.70","2,227.20","2,231.50","2,320.10","2,310.70","2,287.07","2,479.60","2,022.50","32,17,281","7,35,81,41,582.10","85,041"
20-Apr-2026,EQ,"2,240.80","2,253.40","2,223.20","2,240.80","2,227.20","2,231.50","2,238.83","2,479.60","2,022.50","14,60,822","3,27,05,33,638.50","53,168"
17-Apr-2026,EQ,"2,142.00","2,245.00","2,133.00","2,139.10","2,240.00","2,240.80","2,226.83","2,479.60","2,022.50","48,82,697","10,87,29,24,065.90","1,27,443"
16-Apr-2026,EQ,"2,158.00","2,163.70","2,129.10","2,157.60","2,139.10","2,139.10","2,141.57","2,479.60","2,022.50","18,45,734","3,95,27,62,501.90","65,871"
15-Apr-2026,EQ,"2,140.90","2,168.00","2,140.90","2,127.20","2,152.00","2,157.60","2,159.24","2,479.60","2,022.50","15,52,971","3,35,32,31,898.30","74,946"
13-Apr-2026,EQ,"2,131.00","2,140.70","2,113.50","2,155.30","2,121.00","2,127.20","2,127.61","2,479.60","2,022.50","19,94,541","4,24,36,09,384.10","70,581"
10-Apr-2026,EQ,"2,133.20","2,170.00","2,121.40","2,133.20","2,166.10","2,155.30","2,152.87","2,479.60","2,022.50","21,44,484","4,61,67,91,982.70","71,708"
09-Apr-2026,EQ,"2,145.50","2,162.90","2,115.00","2,145.60","2,130.50","2,133.20","2,133.19","2,479.60","2,022.50","25,06,245","5,34,62,98,025.00","80,714"
08-Apr-2026,EQ,"2,130.00","2,192.80","2,130.00","2,110.60","2,145.00","2,145.60","2,157.40","2,479.60","2,022.50","37,94,437","8,18,61,24,549.10","1,01,272"
07-Apr-2026,EQ,"2,064.70","2,119.50","2,050.80","2,084.80","2,115.10","2,110.60","2,080.65","2,479.60","2,022.50","27,09,707","5,63,79,45,915.40","1,04,674"
06-Apr-2026,EQ,"2,065.30","2,092.80","2,041.90","2,065.30","2,083.60","2,084.80","2,070.65","2,479.60","2,022.50","16,61,298","3,43,99,68,741.50","70,054"
02-Apr-2026,EQ,"2,055.00","2,069.90","2,022.50","2,064.70","2,065.00","2,065.30","2,046.66","2,479.60","2,022.50","14,31,905","2,93,06,26,218.70","85,859"
01-Apr-2026,EQ,"2,119.90","2,119.90","2,052.00","2,055.20","2,065.00","2,064.70","2,073.58","2,479.60","2,033.30","20,28,470","4,20,61,90,502.40","65,838"
30-Mar-2026,EQ,"2,064.00","2,082.40","2,046.20","2,074.40","2,057.00","2,055.20","2,056.87","2,479.60","2,033.30","24,82,193","5,10,55,45,425.80","78,854"
